phenocode;pheno_sex;description;description_more
130818;both_sexes;Date E80 first reported (disorders of porphyrin and bilirubin metabolism);"Date of the first occurrence of any code mapped to 3-character ICD10 E80. The code corresponds to ""disorders of porphyrin and bilirubin metabolism"". Note that events which were apparently before birth were omitted when constructing this data field."
130820;both_sexes;Date E83 first reported (disorders of mineral metabolism);"Date of the first occurrence of any code mapped to 3-character ICD10 E83. The code corresponds to ""disorders of mineral metabolism"". Note that events which were apparently before birth were omitted when constructing this data field."
130824;both_sexes;Date E85 first reported (amyloidosis);"Date of the first occurrence of any code mapped to 3-character ICD10 E85. The code corresponds to ""amyloidosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130826;both_sexes;Date E86 first reported (volume depletion);"Date of the first occurrence of any code mapped to 3-character ICD10 E86. The code corresponds to ""volume depletion"". Note that events which were apparently before birth were omitted when constructing this data field."
130828;both_sexes;"Date E87 first reported (other disorders of fluid, electrolyte and acid-base balance)";"Date of the first occurrence of any code mapped to 3-character ICD10 E87. The code corresponds to ""other disorders of fluid, electrolyte and acid-base balance"". Note that events which were apparently before birth were omitted when constructing this data field."
130830;both_sexes;Date E88 first reported (other metabolic disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 E88. The code corresponds to ""other metabolic disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
22670;both_sexes;Minimum carotid IMT (intima-medial thickness) at 120 degrees ;Minimum carotid IMT at 120 degrees (on right side).
22671;both_sexes;Mean carotid IMT (intima-medial thickness) at 120 degrees ;Mean carotid IMT at 120 degrees (on right side).
130832;both_sexes;"Date E89 first reported (postprocedural endocrine and metabolic disorders, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 E89. The code corresponds to ""postprocedural endocrine and metabolic disorders, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
130836;both_sexes;Date F00 first reported (dementia in alzheimer's disease);"Date of the first occurrence of any code mapped to 3-character ICD10 F00. The code corresponds to ""dementia in alzheimer's disease"". Note that events which were apparently before birth were omitted when constructing this data field."
130838;both_sexes;Date F01 first reported (vascular dementia);"Date of the first occurrence of any code mapped to 3-character ICD10 F01. The code corresponds to ""vascular dementia"". Note that events which were apparently before birth were omitted when constructing this data field."
130840;both_sexes;Date F02 first reported (dementia in other diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 F02. The code corresponds to ""dementia in other diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
130842;both_sexes;Date F03 first reported (unspecified dementia);"Date of the first occurrence of any code mapped to 3-character ICD10 F03. The code corresponds to ""unspecified dementia"". Note that events which were apparently before birth were omitted when constructing this data field."
130846;both_sexes;"Date F05 first reported (delirium, not induced by alcohol and other psychoactive substances)";"Date of the first occurrence of any code mapped to 3-character ICD10 F05. The code corresponds to ""delirium, not induced by alcohol and other psychoactive substances"". Note that events which were apparently before birth were omitted when constructing this data field."
130848;both_sexes;Date F06 first reported (other mental disorders due to brain damage and dysfunction and to physical disease);"Date of the first occurrence of any code mapped to 3-character ICD10 F06. The code corresponds to ""other mental disorders due to brain damage and dysfunction and to physical disease"". Note that events which were apparently before birth were omitted when constructing this data field."
130852;both_sexes;Date F09 first reported (unspecified organic or symptomatic mental disorder);"Date of the first occurrence of any code mapped to 3-character ICD10 F09. The code corresponds to ""unspecified organic or symptomatic mental disorder"". Note that events which were apparently before birth were omitted when constructing this data field."
130854;both_sexes;Date F10 first reported (mental and behavioural disorders due to use of alcohol);"Date of the first occurrence of any code mapped to 3-character ICD10 F10. The code corresponds to ""mental and behavioural disorders due to use of alcohol"". Note that events which were apparently before birth were omitted when constructing this data field."
